ID,exp,RT,TT,RR,group,p.CD4,p.CD8,p.B.cells,p.NK.cells,p.neutro,p.mono
1,XR,XR,Hemisphere,2,Hemisphere at 2 Gy/min,0.292695364,0.673154432,0.572871731,0.362059771,0.649524081,0.7656615
2,XR,XR,Hemisphere,2,Hemisphere at 2 Gy/min,0.986389304,0.660683723,0.417872298,0.032288609,0.355408869,0.259081034
3,XR,XR,Hemisphere,2,Hemisphere at 2 Gy/min,0.312411434,0.32815306,0.442279228,0.043680879,0.456986066,0.508844868
4,XR,XR,Hemisphere,2,Hemisphere at 2 Gy/min,0.27430445,0.27283139,0.390716226,0.074218544,0.426247772,0.243327843
5,XR,XR,Hemisphere,2,Hemisphere at 2 Gy/min,0.276561852,0.31452453,0.438369557,0.102293014,0.552278133,0.35067941
6,XR,XR,Whole brain,2,Whole brain at 2 Gy/min,0.208747346,0.212569533,0.198692235,0.147257425,1.060518685,0.464689091
7,XR,XR,Whole brain,2,Whole brain at 2 Gy/min,0.251690902,0.28563225,0.320468779,0.085705409,0.966837194,0.497131823
8,XR,XR,Whole brain,2,Whole brain at 2 Gy/min,0.14693654,0.326270557,0.481646063,0.229421993,0.694962049,0.289254384
9,XR,XR,Whole brain,2,Whole brain at 2 Gy/min,0.104856838,0.14320162,0.304640021,0.591159027,0.679305766,0.519472595
10,XR,XR,Whole brain,2,Whole brain at 2 Gy/min,0.214883844,0.319336956,0.546090077,0.815172382,1.124008497,0.857091248
11,XR,XR,Hemisphere,1,Hemisphere at 1 Gy/min,0.733309654,0.70516963,0.476251741,0.308342491,0.502174257,0.297605081
12,XR,XR,Hemisphere,1,Hemisphere at 1 Gy/min,0.227676442,0.298919216,0.314238273,0.23775011,0.536091079,0.339533779
13,XR,XR,Hemisphere,1,Hemisphere at 1 Gy/min,0.682344242,0.535552696,0.652750774,0.438433609,1.300774556,1.147159786
14,XR,XR,Hemisphere,1,Hemisphere at 1 Gy/min,0.132684951,0.277019161,0.385887179,0.25913983,0.880102495,0.647438411
15,XR,XR,Hemisphere,1,Hemisphere at 1 Gy/min,0.30903264,0.341706344,0.506352304,0.294002921,0.49607137,0.398923237
16,XR,XR,Whole brain,1,Whole brain at 1 Gy/min,0.277110952,0.288959676,0.352127081,0.343023811,1.065802607,0.560409673
17,XR,XR,Whole brain,1,Whole brain at 1 Gy/min,0.604915582,0.586358804,0.814131491,0.554546846,2.128540968,1.382288872
18,XR,XR,Whole brain,1,Whole brain at 1 Gy/min,0.359660913,0.542731907,0.868998022,0.609623705,1.233438645,0.869969264
19,XR,XR,Whole brain,1,Whole brain at 1 Gy/min,0.180804355,0.246773021,0.283196892,0.252208388,0.642692297,0.45564278
